business_id,categories
8Nm_jcCYtMXYW0ODSHDiXA,"['Seafood', 'Steakhouses', 'Japanese', 'Restaurants']"
fJjBMRGnkzc7nVm6VqxoxQ,"['Hot Dogs', 'Restaurants']"
T49ZvBa6mD4xHSmjHe-ArA,"['Pizza', 'Restaurants']"
eOv0Dbq2E8sd0CKMAqTImw,"['Pizza', 'Restaurants']"
_jsJFrAmFVPRio0eEVExbA,"['Burgers', 'Fast Food', 'Restaurants']"
Lml0-yTNsMYsP9IrSMxw9A,"['Chinese', 'Restaurants']"
JX2gDf2uy2UGuKPpcKT-IA,"['Burgers', 'Fast Food', 'Restaurants']"
QVZBd_eu0oJ4IN0md2XPTQ,"['Restaurants', 'Italian']"
udZJ8YgsHdqtFDQkyPTV1Q,['Restaurants']
ucKQlQvOeJxETLNkpKcaSw,"['American (Traditional)', 'Restaurants']"
ZL6DNzyenFm9Kpz6uADlNg,"['Tapas/Small Plates', 'Restaurants', 'Italian']"
OcTG-KzDleuRub-pb6JS3Q,"['Italian', 'Pizza', 'Restaurants']"
Y2p07YEC8xOsYTHWf0UxiA,"['Chinese', 'Restaurants']"
g58NW9q4F09wTMiI7EIjmg,"['Pizza', 'Restaurants']"
Pu5uzlZ05pqVlx6LcZbfgw,"['Italian', 'Pizza', 'Restaurants']"
83_p9vIqOq1TUIf3_GD7bA,"['Food', 'Coffee & Tea', 'Cafes', 'Restaurants']"
Ts4xsKPU7FNPPZRj-nRjIg,"['Bars', 'Restaurants', 'Sports Bars', 'Barbeque', 'Nightlife']"
UtWJ8NGMg-3z28s0RzlUoQ,"['Chinese', 'Restaurants']"
bZcqORBnVApUA2-SEn7VEQ,"['Burgers', 'Fast Food', 'Restaurants']"
B9C6j80ob0f1pwi1Cnnd1Q,"['Pizza', 'Restaurants']"
tvXTHj9V5sgRoeVJW_FiTg,"['Chinese', 'Restaurants']"
2SwC8wqpZC4B9iFVTgYT9A,"['Bars', 'Mediterranean', 'Wine Bars', 'Nightlife', 'Restaurants', 'Diners']"
PzG0XmAmtXFs6Fdnubf41g,"['Food', 'Coffee & Tea', 'Vegetarian', 'Restaurants']"
lHP5STO7aomlEQixH8m1aA,"['Pizza', 'Restaurants']"
-iVcmhjfq79QoTWzrb6pKg,"['Health Markets', 'Food', 'Vegetarian', 'Restaurants', 'Specialty Food']"
l_Wey2YC6NvVUIH8vTygGg,"['Portuguese', 'Mediterranean', 'Restaurants']"
Y3E5QDlKmjHD2zOSPASFIA,['Restaurants']
W7-Ybhe6JWJFXjcbmgvdyA,"['Chinese', 'Restaurants']"
qUeBDN0D8SC93KeAHhiL-g,"['Restaurants', 'Italian']"
YXuvFMtygHPFEOEXgRtgLQ,"['Chinese', 'Restaurants']"
Csi12bjcnJ6hDpcbedX6Jg,"['Italian', 'Pizza', 'Chicken Wings', 'Restaurants']"
LltDzuzRbAJbSrqD4JH-3A,"['Chinese', 'Restaurants']"
VkqKyq09rDYMhFk5nElWWA,"['Food', 'Ice Cream & Frozen Yogurt', 'Pizza', 'Restaurants']"
QIJa5h2d65Bgh82zct7c7A,"['American (Traditional)', 'Diners', 'Restaurants']"
PTkChuI3GPCw-ZL1Iph76A,"['Italian', 'Pizza', 'Restaurants']"
BbIh5NTizhV4Fq_mLmNkpg,"['Seafood', 'Fast Food', 'Restaurants']"
Ga0y-XHa4os_VvoHz21bfQ,"['Pizza', 'Restaurants']"
xMZM_vyCraM9BZUn4yrj5Q,"['Fast Food', 'Chicken Wings', 'Restaurants']"
IxQ1ATP_Wg_QujO9nywzcQ,"['German', 'Pubs', 'Bars', 'Nightlife', 'Restaurants']"
TyIsuojeKcTb4Acfg7xqew,"['Chinese', 'Restaurants']"
oj8bMz76cKXQClpFTFNW9w,"['Delis', 'Restaurants']"
k1A8pNspBPinGDivxkuDSA,"['Bars', 'American (Traditional)', 'Nightlife', 'Restaurants']"
-nO_qj9eP-os3baYyh8eNA,"['Pizza', 'Restaurants']"
e5DtayybW4jbKcDBwEUmOQ,"['American (Traditional)', 'Restaurants']"
CqHTknOJHZZncWzGtpbNsA,"['Pizza', 'Restaurants']"
OjzR6hUYasFReo0vhVn0-w,"['German', 'Beer, Wine & Spirits', 'Food', 'Restaurants']"
6AnorAMPkTdSDbUkOoV1Rw,"['Cafes', 'Restaurants']"
49nxzKLr2qQnLF58qo2p1w,['Restaurants']
rEKBr81s19Soh3dYj4bcGQ,"['Italian', 'Pizza', 'Chicken Wings', 'Restaurants']"
q_BKmbdlYfQJroJVHfYMUQ,"['Restaurants', 'Italian']"
99WYCuBEsO7OUCDWbbrrew,"['Fast Food', 'Sandwiches', 'Restaurants']"
vMCCvnDU-Iz_D_pmbcMqzA,"['Bars', 'American (New)', 'Nightlife', 'Restaurants']"
hUV4bjXE8Ijd-pDNr8S6mA,"['Hot Dogs', 'Restaurants']"
Od9niVya8G5BD3a1l2ss-g,"['American (New)', 'Pizza', 'Restaurants']"
Z101WZaISochG6g7tI2ZVw,"['American (New)', 'Sandwiches', 'Restaurants']"
Eixtf79t1_ZKaC-7J2kAWg,"['Pizza', 'Restaurants']"
Z0OGW8PysysRXE0dR7QxQQ,"['Barbeque', 'Restaurants']"
I9-Ei8_KYtMjbixNJSCvwA,"['Food', 'Ice Cream & Frozen Yogurt', 'Delis', 'Restaurants']"
yfuoL_w76WFVHcGJbw0IIg,"['Pizza', 'Restaurants']"
2cupks8QYzFpMYDiysGOug,"['Diners', 'Restaurants']"
AAcw9y30cRuMo0oa8UBiIw,"['Pizza', 'Restaurants']"
YUZVBdGmagwXV-yOhR-1GQ,"['Seafood', 'Restaurants']"
OIL-eZX8d10jgWPLW-E7zA,"['Pizza', 'Restaurants']"
PSlOtPIo28BvWOzdLmRRRQ,"['Polish', 'Greek', 'Restaurants']"
wan0X-oHpLgGTPXqaICZCw,"['Bars', 'American (Traditional)', 'Nightlife', 'Restaurants']"
QnyzlVMyx0Exri-Lay10cA,"['Sushi Bars', 'Japanese', 'Restaurants']"
81sqVj0xHyJXGYT0ip5fmQ,"['Chinese', 'Restaurants']"
93UCt9OgWYmypZCpXtUu8g,"['Pizza', 'Sandwiches', 'Salad', 'Restaurants']"
za5fND9-pXyVSk5rM28MsQ,"['Dive Bars', 'Bars', 'American (New)', 'Nightlife', 'Restaurants']"
ORTRrw3ClZ0Ld0LgY1H_5g,"['Fast Food', 'American (Traditional)', 'Restaurants']"
9aw0t0rlACKkMaxsX0KlKA,"['Food', 'Ice Cream & Frozen Yogurt', 'Fast Food', 'Restaurants']"
5Udv4CASAXB2eH66TefWPQ,"['American (New)', 'Restaurants']"
2Igiyhi82R8_QaaPplRmCw,"['Breakfast & Brunch', 'Diners', 'Restaurants']"
Cex2R008tMFg8R5fAtf77w,"['Pizza', 'Restaurants']"
n7G2XFGvmS3duDJ4AzjKiQ,"['Indian', 'Restaurants']"
8tBfgYCI6Fz9xrSYCYCYXA,"['Indian', 'Restaurants']"
Tb7hQ37UFA2QFaMwjFieQw,"['Fast Food', 'Restaurants']"
qemCNgjeYGcFsRwxW9x4xw,"['Italian', 'Bars', 'Pizza', 'Nightlife', 'Restaurants']"
iudRNo5Q8W7firUBYJEqQQ,"['Pizza', 'Restaurants']"
2X5G4Ujq0s4Wfn4TC7gX0g,"['Pubs', 'Bars', 'Hot Dogs', 'Nightlife', 'Restaurants']"
XQ7elqSFIRogvqpiTZz-Wg,"['American (Traditional)', 'Restaurants']"
JL5B_s1EoN4zIru4JSw4Qg,"['Fast Food', 'Mexican', 'Tex-Mex', 'Restaurants']"
IafkUjO5CiXAu9LfB4_Sgg,"['Sandwiches', 'Diners', 'Restaurants']"
OS1fGOcx_Erie5gujWIFNQ,"['Chinese', 'Restaurants']"
DzOPHyrG2XuVqKEvHCnN7w,"['Nightlife', 'Bars', 'Sandwiches', 'Restaurants']"
nqRNOug4OMrYTTZg-qLxXA,"['Burgers', 'Pizza', 'Sandwiches', 'Restaurants']"
K8Ebs8G1rwc3DBdznHvDxg,"['Burgers', 'Fast Food', 'Restaurants']"
h3la53L9-OX_HlfeAySh0Q,"['Bars', 'American (Traditional)', 'Burgers', 'Nightlife', 'Sports Bars', 'Restaurants']"
1vQLTKwmcmZXtNzfKEvMmA,"['Sushi Bars', 'Japanese', 'Restaurants']"
hhNlQWaKqGbMPoeZHoL-IQ,"['Mexican', 'Tex-Mex', 'Restaurants']"
GEw1pLdbMlJecvQkKBIgSw,"['Italian', 'Pizza', 'Chicken Wings', 'Restaurants']"
SgQYRICpMdWCmY7wM2Cmcw,"['American (Traditional)', 'Restaurants']"
m0QsJDntW1MrWCxBVFwuAg,"['Burgers', 'Fast Food', 'Restaurants']"
uwiD9jxs09xxXG0by_xKuA,"['Food', 'Sandwiches', 'Bagels', 'Breakfast & Brunch', 'Restaurants']"
mrbfnIXD5U4pMxuZgKedOw,"['Chinese', 'Restaurants']"
sNmQJQWEVGheCnw5Tf4Phg,"['Soup', 'Sandwiches', 'Salad', 'Restaurants']"
jrSGpWnVJy8jqgN6XSC7Nw,"['Italian', 'American (New)', 'Seafood', 'Restaurants']"
EtnMSBRlMQWrdTla-jz9RA,"['Bars', 'American (Traditional)', 'Nightlife', 'Restaurants']"
KZXtzoI84iI1CEcAnD7OPA,"['Italian', 'Pizza', 'Restaurants']"
zpNGtjBlIkDq_PLGSCPlAg,"['Bars', 'Salad', 'Wine Bars', 'Nightlife', 'Italian', 'Restaurants']"
ZS7-I04iDm4oRP_GJsJqrA,"['Event Planning & Services', 'American (Traditional)', 'Caterers', 'Comfort Food', 'Restaurants']"
FtjvnLhh51ZBYEpKAARaFQ,"['American (New)', 'Restaurants']"
z4cCguoHdU48pj6sXMIzqg,"['Seafood', 'Restaurants']"
sbTF0cLKZH6_BP8BLARVDg,"['Tapas Bars', 'Bars', 'Nightlife', 'Restaurants']"
OxIeMVcop5oxBUWANi-1Rw,"['Bars', 'Cocktail Bars', 'Nightlife', 'Lounges', 'American (New)', 'Restaurants']"
imzKM9-mgN1Yk_RIXx3IgA,"['Food', 'Ethnic Food', 'Specialty Food', 'Restaurants', 'Italian']"
IEHaU93HpEbdUO4z4bKzDw,"['American (Traditional)', 'Restaurants']"
NeUf9FyCCIN4MEseNyqkXQ,"['Bars', 'Restaurants', 'Nightlife', 'American (New)', 'Sports Bars', 'Sandwiches']"
JcP-IIrZkW_Yyv4a0yLRCw,"['Pizza', 'Italian', 'Sandwiches', 'Restaurants']"
4LcFKTr6Ah87VcxW2z5e6w,"['Burgers', 'Fast Food', 'Restaurants']"
buVALudg30kgkDusqB3yJw,"['Food', 'Grocery', 'Mexican', 'Restaurants']"
wHi8ODv7TGmeUB02XoX-mA,"['Seafood', 'Restaurants']"
WXpi9z1bqF9raZSW8z70Ow,"['Greek', 'Mediterranean', 'Restaurants']"
j7kgLc4Uys_sb-H7_Velcg,"['Delis', 'Restaurants', 'Event Planning & Services', 'Caterers']"
DhDNNHZtaBxYNSqJz64ixg,"['Restaurants', 'Italian']"
PxP19Rb88OQKiSMl2oWNsg,"['Greek', 'Mediterranean', 'Middle Eastern', 'Restaurants']"
9mwShpTgZofOujt4JfyGmw,"['Restaurants', 'Italian']"
90Fqfzd8zD9AuuNBSv9lAg,"['American (Traditional)', 'Restaurants']"
pfS0Bd-sXZyMNr73kJPeaw,"['Cafeteria', 'Restaurants']"
KEzIorUdFjqCuxbRxKPghA,"['Pizza', 'Restaurants']"
pvGT62T6Ci1LKOS9DL42pg,"['Sandwiches', 'Restaurants']"
OT3yVpDrDVITDCIYox8d9A,"['Restaurants', 'Italian']"
8AskFIgGxqNb8RbcDCAfmA,"['Mexican', 'Restaurants']"
A2XkbJ07hrR80t0EFgLikQ,"['American (Traditional)', 'Cafes', 'Restaurants']"
L5387MoRyx9orlRyYfCSPA,"['Sushi Bars', 'Restaurants']"
dHDi4wCcjsOR6vcZ8oOIoA,"['Korean', 'Sushi Bars', 'Restaurants']"
41CXLCeB8z2oNdIOvnrzIA,"['Seafood', 'Restaurants']"
OhwF2JDqlYMZl5Rp3WRBog,"['American (New)', 'Restaurants']"
l2gPB9mqiHSbpwSUa7zrjg,"['Restaurants', 'Italian']"
gfpl_GyyY5uj6zJnIdzImQ,"['Cafes', 'Restaurants']"
l-OmDgEd4QkZpyXVpkp2yA,"['Pizza', 'Restaurants']"
0FgwBx7pgmNdUtsd_T8UYQ,"['Steakhouses', 'Restaurants']"
SzHTdZR3yY1WBYUxkVxmUQ,"['Restaurants', 'Italian']"
xgcZN3F2f9LxLASQK_xzhw,"['Delis', 'Restaurants']"
_aGVicux2dJm9sqzLSCJtg,"['Fast Food', 'Sandwiches', 'Restaurants']"
uUorjstNslr3gkIsVGtQAg,"['American (Traditional)', 'Restaurants']"
GSiHJG8LqTn5ZQAY1r9q9w,"['Chinese', 'Restaurants']"
0Lsd35rHY6UtPFHjjxJ1LA,"['American (Traditional)', 'Restaurants']"
Bza-l75OiKcMRmTYILpyfQ,"['Hot Dogs', 'Restaurants']"
-TSFapUMwdyyxoi2egkOhw,"['Steakhouses', 'Restaurants']"
1E53rS8afK2jiLod8Jwy7A,"['Chinese', 'Restaurants']"
j0uzPYXgu-hmkvuGnj-B1w,"['Caterers', 'American (Traditional)', 'Event Planning & Services', 'Restaurants']"
AH1PrZQDIdjpKgy1z8XxUg,"['Greek', 'Sandwiches', 'Salad', 'Restaurants']"
XmdTkxKyJd7TuDLoiic1kg,"['Bars', 'Restaurants', 'Nightlife', 'Italian']"
HDTv_rnmSL8AQ04_zTWARA,"['American (Traditional)', 'Restaurants']"
nBl_NeArpL08MpoghDiA_A,"['Pizza', 'Restaurants']"
J011r7mUV1QhgLJ7GkrtMw,"['Burgers', 'Restaurants']"
-KQ283hJkBO12u8XOrlCcQ,"['Seafood', 'Restaurants']"
SvoJ3Y3uqDfB4iGUaWXh8Q,"['Pizza', 'Restaurants']"
6xEl2PDJulIp1PfWqa7-aA,"['Pubs', 'Irish', 'Nightlife', 'Bars', 'Restaurants']"
GQloL8yRHymE0SGZq-B0zQ,"['Vietnamese', 'Restaurants']"
Lm_mR5xDF91OeZw97ch41g,"['Thai', 'Restaurants']"
aj4XHn7jZ48euP4g8ape-Q,"['Pizza', 'Restaurants']"
-v31BEquLxeVPgvFHburUQ,"['Pizza', 'Restaurants']"
9dRhseYpES0LO0iNDLHtrg,"['Restaurants', 'Pizza', 'Italian']"
KnlNwiIELDWAR686Bk2WJg,"['Chinese', 'Restaurants']"
XzaJf6WzpU7RsXTXzx72Xg,"['American (New)', 'Restaurants']"
PTS4MxQel-xzj5qWxVn3LQ,"['Pizza', 'Restaurants']"
IvgKdlte_JNdd17XRxkOrg,"['Pizza', 'Restaurants']"
bDK_jzy3Shx7jfn8_plNoA,"['Pizza', 'Restaurants']"
PhIGoo9g6GBrqgH_6yZXXQ,"['Indian', 'Restaurants']"
uBW3PIKqc-_eyG1_vdJn1w,"['Vietnamese', 'Restaurants']"
DsxLIr-b6WlDn9YNsVBu_A,"['Food', 'Grocery', 'Delis', 'Restaurants']"
FD6OocZdFUfE2J5H0WN4fA,"['Nightlife', 'Bars', 'Sandwiches', 'Restaurants']"
LN3OCT1xOedbf65xKzFSNw,"['Indian', 'Restaurants']"
tQpYnf3P3Q_OQLYYJvlV-A,"['Bars', 'American (Traditional)', 'Nightlife', 'Restaurants']"
KH6stvNdq_aV0HvKw8P5yA,"['Food', 'Grocery', 'Delis', 'Restaurants']"
nUISXnW2Jo9ovnoFBIUY_Q,"['Restaurants', 'Italian']"
dxCqGkhtXq-9fYEsX7Mf6Q,"['Vietnamese', 'Restaurants']"
--UE_y6auTgq3FXlvUMkbw,"['Breakfast & Brunch', 'American (Traditional)', 'Diners', 'Restaurants']"
YTqSkgOiiI9HG3hNH7ovfg,"['Seafood', 'Restaurants', 'Italian']"
vgXE1I7c9ElcfYyZfQiN1Q,"['Burgers', 'American (Traditional)', 'Steakhouses', 'Restaurants']"
-Nanlb7SYXObqQ6dZ49UOg,"['Bars', 'Restaurants', 'Nightlife', 'Italian']"
3zgswf_NfBJpeAoWeTkgMA,"['Pubs', 'Bars', 'American (Traditional)', 'Nightlife', 'Restaurants']"
uOwuJJhGaiAzuaDY7-o14g,"['Event Planning & Services', 'American (Traditional)', 'Caterers', 'Comfort Food', 'Restaurants']"
7XXmky6YYjsvKFwho_eavg,"['Bars', 'American (Traditional)', 'Nightlife', 'Restaurants']"
o_wRqOpli9kyZGXlJtLLdA,"['Breakfast & Brunch', 'Sandwiches', 'Restaurants']"
5MChfa-jZfMo3vBpolkSbw,"['Restaurants', 'Italian']"
YDCxBTJmF-lLCk1Qx8vDfg,"['Fast Food', 'Restaurants']"
sxeuOMBRllOHXJTaUlI9kQ,"['Thai', 'Restaurants']"
ptmsW2SSeFD2I6vspJs0lQ,"['American (New)', 'Restaurants']"
r8jeeS3k_diihMDSu9IjlA,"['Italian', 'Pizza', 'Restaurants']"
cH8I7JgPXcrcutT1a3YrjQ,"['Greek', 'Restaurants']"
dQjaHoo89bLymdMm4S5_1g,"['Restaurants', 'Italian']"
gCiKiqPGAC_ZVt5bBcwnrw,"['Bakeries', 'Food', 'Cafes', 'Restaurants']"
UjJMQguryo1jypomvOCZgg,"['Italian', 'Pizza', 'Restaurants']"
dpRsK3JyaD3GKorVWzQUmA,"['Burgers', 'Fast Food', 'Restaurants']"
aIzx9R8MN9VgSSJt1jy5TA,"['Sandwiches', 'Restaurants']"
TOgeI2IprhkMQVpcr-0tyg,"['Pizza', 'Restaurants']"
vWnwaD-kykqiEc2Q0hbYsw,"['Burgers', 'Fast Food', 'Restaurants']"
PscxgmrteHI-6qdI-vIm5g,"['Bars', 'American (Traditional)', 'Nightlife', 'Restaurants']"
T4D7wX6GuCYChwRmser-0A,"['Chinese', 'Restaurants']"
cESul2ojJOjadz-7BKB5eg,"['Middle Eastern', 'Mediterranean', 'Restaurants']"
xUf11yTcoRagwNiJcY8GAA,"['Burgers', 'Fast Food', 'Restaurants']"
hbFCv2Rginf9zjai-lKUNg,"['Chinese', 'Restaurants']"
vs3UrHaSnzFOxmFU2UAfxQ,"['Chinese', 'Restaurants']"
6-rJjW6ITl5o_FliiNgZRA,"['Italian', 'Pizza', 'Restaurants']"
mPlWLIA4pkHMRtlQDm6UyQ,"['Sushi Bars', 'Japanese', 'Restaurants']"
sa3xqElJEv97MazozLeszw,"['Pizza', 'Restaurants']"
MkrQV_nyxyC1F5ut5KxDMQ,"['Soup', 'Sandwiches', 'Salad', 'Restaurants']"
jJfTh2O3M2Q716akd9Dr9w,"['Bars', 'American (Traditional)', 'Burgers', 'Nightlife', 'Sports Bars', 'Restaurants']"
9SPwF-vRgtuHxciFxv5YLA,"['Korean', 'Asian Fusion', 'Japanese', 'Restaurants']"
Cy9XgM3ZG2jZ1ganvolb6Q,"['Japanese', 'Restaurants']"
rgmptwPbBH1wLpiBHcbIhA,"['Bars', 'American (Traditional)', 'Nightlife', 'Diners', 'Restaurants']"
i_nkxbd7feg44QkdbG05UA,"['American (New)', 'Restaurants']"
vSZDiKiF8vf9zt_BcDL7GQ,"['Bars', 'Restaurants', 'American (Traditional)', 'Sports Bars', 'Nightlife']"
DkX3YoxhH4uADsgVgQThew,"['Bars', 'American (Traditional)', 'Nightlife', 'Restaurants']"
sQWSHCIH_HUT4HUXaxDaBA,"['Food', 'Sandwiches', 'Bagels', 'Breakfast & Brunch', 'Restaurants']"
rUQfZOengMpXFkLvJrNJ3g,"['Food', 'Tea Rooms', 'Breakfast & Brunch', 'Bed & Breakfast', 'Hotels & Travel', 'Restaurants']"
Oq5MyNxNi-xuXdPOWR9O_g,"['Bars', 'Pizza', 'Nightlife', 'Restaurants']"
xgK6AAhJ-cYBUCSaLzgTuw,"['Restaurants', 'Italian']"
Z-BI5HJmC2HcpiVuXwVM3A,"['Peruvian', 'Latin American', 'Restaurants']"
kxZIebwbpe_ddry6EKMdCg,"['Pizza', 'Restaurants']"
TxKmAsKQjND5vbhBdUSyIA,"['Breakfast & Brunch', 'Restaurants']"
cmGR1HS9ms233roSllcglw,"['Breakfast & Brunch', 'Creperies', 'French', 'Restaurants']"
rm1hBa1HPcLhUSwuincX2Q,"['Hotels & Travel', 'Restaurants', 'American (New)', 'Event Planning & Services', 'Hotels']"
mXHBxHrAJPnPWnm_OKuZTQ,"['Burgers', 'Fast Food', 'Restaurants']"
Q9BXMPu2HnRDMq9X_2rHrQ,"['Fast Food', 'Restaurants']"
jeS38QWMVkA6S-4lMi1Frg,"['American (New)', 'Restaurants']"
a9xP7sxbeGQo7HRfebhbnA,"['Burgers', 'Fast Food', 'Restaurants']"
cwyq1QIa4fNISUap4PCs_A,"['Chinese', 'Restaurants']"
MFtTSa1OTC0rFxBxpXzKfg,"['Pizza', 'Restaurants']"
q5g_zeAdwsZQp0p9GPnTJw,"['Pizza', 'Restaurants']"
R5juy1-LmtpHF1TMFArwRg,"['Burgers', 'Fast Food', 'Restaurants']"
lI-LWQETbT8RivEHt-7jJg,"['Chinese', 'Restaurants']"
bg1e__l7Jh3oDhasW5KFvw,"['Burgers', 'Fast Food', 'Restaurants']"
jVVyiaDle64frINmX2hgqw,"['Pizza', 'Restaurants']"
L7KHl7v7g3gDxUEpAt9z-g,"['American (Traditional)', 'Restaurants', 'Italian']"
7QBJDNVH6VPAStSvOM_lZA,"['Chinese', 'Restaurants']"
hxWwXE1mqNuSghYBr5bLWg,"['Pizza', 'Restaurants']"
WrP8KeKTlWcjqQPj2DJKGQ,"['American (New)', 'Diners', 'Restaurants']"
1QhIsblyEViEWc53FmxH_Q,"['Burgers', 'Fast Food', 'Restaurants']"
-tcf1WSfc2iNRf75AMW6pw,"['Sandwiches', 'Restaurants']"
dwz55gqPZwSBD74yFFb27g,"['Sushi Bars', 'Taiwanese', 'Chinese', 'Restaurants']"
31cEXlDSos9C7FNtwtQHIw,"['Fast Food', 'Mexican', 'Tex-Mex', 'Restaurants']"
rEpubmz577MOhpDmWPH1uw,"['Thai', 'Restaurants']"
ufyh6h4GsR-RYY2lC_Iz7w,"['Bars', 'American (Traditional)', 'Nightlife', 'Lounges', 'Restaurants']"
9VtaTbTKVK9sQVy4j2RO-w,"['American (New)', 'Restaurants']"
PFAOxw4Gl8gm7PGWvohCWg,"['Bars', 'American (Traditional)', 'Burgers', 'Nightlife', 'Sports Bars', 'Restaurants']"
xkrhaKM1YtiLEcorBI5zcQ,"['Restaurants', 'Pizza', 'Italian']"
qm6yyQUe8Ln29NzDfWqxVA,"['Cafes', 'Restaurants']"
EZrCQtZxiEo1kkAYt2EQqw,"['Burgers', 'Fast Food', 'Restaurants']"
HPcrrz8uipPQyK-5zd6w9Q,"['Italian', 'Pizza', 'Chicken Wings', 'Restaurants']"
sPvUuYAF2a1LnYaw8iCm9A,"['Fast Food', 'Restaurants']"
cbLaFQJOfzDy_TxMkPee9Q,"['Breakfast & Brunch', 'Restaurants']"
W-2Tuk4uWYm5BsdlWju8wg,"['Seafood', 'Restaurants']"
Gz2bNUss7Y_dyy_lRtVGEw,"['American (Traditional)', 'Barbeque', 'Restaurants']"
c-Pa13Lq1eB0VwLVoyJ7lg,"['Sandwiches', 'Restaurants']"
Ue9LjsXuWms-CMHMxqo3zQ,"['Pizza', 'Restaurants']"
vtJAnB4gBgTJKv3mOnOF_w,"['Fast Food', 'Mexican', 'Tex-Mex', 'Restaurants']"
qJTHaHFKQIKXKX3I17Nw9w,"['Burgers', 'Fast Food', 'Restaurants']"
JkF2CPy63ivoK1FUqprQ7w,"['Chinese', 'Restaurants']"
OkV0BMQxRRYJ5t5sbeU93A,"['Restaurants', 'American (New)', 'Event Planning & Services', 'Caterers']"
sJtGRBWYUj013nkFA4Hrdg,"['Italian', 'Pizza', 'Sandwiches', 'Restaurants']"
qYuSoVBS_1i_btLzFefDeg,"['Pizza', 'Restaurants']"
