business_id,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Y2p07YEC8xOsYTHWf0UxiA,17:00-21:30,17:00-21:30,17:00-21:30,17:00-21:30,17:00-21:30,17:00-21:30,17:00-21:30
g58NW9q4F09wTMiI7EIjmg,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00
Pu5uzlZ05pqVlx6LcZbfgw,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00
83_p9vIqOq1TUIf3_GD7bA,07:00-19:00,07:00-19:00,07:00-19:00,07:00-19:00,07:00-19:00,07:00-19:00,07:00-19:00
Ts4xsKPU7FNPPZRj-nRjIg,close all day,close all day,close all day,close all day,close all day,close all day,close all day
UtWJ8NGMg-3z28s0RzlUoQ,close all day,close all day,close all day,close all day,close all day,close all day,close all day
bZcqORBnVApUA2-SEn7VEQ,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00
B9C6j80ob0f1pwi1Cnnd1Q,10:00-01:00,10:00-01:00,10:00-01:00,10:00-01:00,10:00-01:00,10:00-01:00,10:00-01:00
tvXTHj9V5sgRoeVJW_FiTg,close all day,close all day,close all day,close all day,close all day,close all day,close all day
2SwC8wqpZC4B9iFVTgYT9A,11:30-22:00,11:30-22:00,11:30-22:00,11:30-22:00,11:30-22:00,11:30-22:00,11:30-22:00
PzG0XmAmtXFs6Fdnubf41g,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00
lHP5STO7aomlEQixH8m1aA,11:00-00:00,11:00-00:00,11:00-00:00,11:00-00:00,11:00-00:00,11:00-00:00,11:00-00:00
-iVcmhjfq79QoTWzrb6pKg,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00
l_Wey2YC6NvVUIH8vTygGg,close all day,close all day,close all day,close all day,close all day,close all day,close all day
Y3E5QDlKmjHD2zOSPASFIA,close all day,close all day,close all day,close all day,close all day,close all day,close all day
W7-Ybhe6JWJFXjcbmgvdyA,11:00-22:30,11:00-22:30,11:00-22:30,11:00-22:30,11:00-22:30,11:00-22:30,11:00-22:30
qUeBDN0D8SC93KeAHhiL-g,17:00-23:00,17:00-23:00,17:00-23:00,17:00-23:00,17:00-23:00,17:00-23:00,17:00-23:00
YXuvFMtygHPFEOEXgRtgLQ,close all day,close all day,close all day,close all day,close all day,close all day,close all day
Csi12bjcnJ6hDpcbedX6Jg,close all day,close all day,close all day,close all day,close all day,close all day,close all day
LltDzuzRbAJbSrqD4JH-3A,close all day,close all day,close all day,close all day,close all day,close all day,close all day
VkqKyq09rDYMhFk5nElWWA,close all day,close all day,close all day,close all day,close all day,close all day,close all day
QIJa5h2d65Bgh82zct7c7A,05:30-19:00,05:30-19:00,05:30-19:00,05:30-19:00,05:30-19:00,05:30-19:00,05:30-19:00
PTkChuI3GPCw-ZL1Iph76A,16:00-21:00,16:00-21:00,16:00-21:00,16:00-21:00,16:00-21:00,16:00-21:00,16:00-21:00
BbIh5NTizhV4Fq_mLmNkpg,close all day,close all day,close all day,close all day,close all day,close all day,close all day
Ga0y-XHa4os_VvoHz21bfQ,close all day,close all day,close all day,close all day,close all day,close all day,close all day
xMZM_vyCraM9BZUn4yrj5Q,10:30-22:00,10:30-22:00,10:30-22:00,10:30-22:00,10:30-22:00,10:30-22:00,10:30-22:00
IxQ1ATP_Wg_QujO9nywzcQ,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00
TyIsuojeKcTb4Acfg7xqew,11:00-22:30,11:00-22:30,11:00-22:30,11:00-22:30,11:00-22:30,11:00-22:30,11:00-22:30
oj8bMz76cKXQClpFTFNW9w,09:00-15:30,09:00-15:30,09:00-15:30,09:00-15:30,09:00-15:30,09:00-15:30,09:00-15:30
k1A8pNspBPinGDivxkuDSA,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00
-nO_qj9eP-os3baYyh8eNA,close all day,close all day,close all day,close all day,close all day,close all day,close all day
e5DtayybW4jbKcDBwEUmOQ,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00
CqHTknOJHZZncWzGtpbNsA,close all day,close all day,close all day,close all day,close all day,close all day,close all day
OjzR6hUYasFReo0vhVn0-w,close all day,close all day,close all day,close all day,close all day,close all day,close all day
6AnorAMPkTdSDbUkOoV1Rw,close all day,close all day,close all day,close all day,close all day,close all day,close all day
49nxzKLr2qQnLF58qo2p1w,close all day,close all day,close all day,close all day,close all day,close all day,close all day
rEKBr81s19Soh3dYj4bcGQ,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00
q_BKmbdlYfQJroJVHfYMUQ,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00
99WYCuBEsO7OUCDWbbrrew,close all day,close all day,close all day,close all day,close all day,close all day,close all day
vMCCvnDU-Iz_D_pmbcMqzA,close all day,close all day,close all day,close all day,close all day,close all day,close all day
hUV4bjXE8Ijd-pDNr8S6mA,09:00-15:00,09:00-15:00,09:00-15:00,09:00-15:00,09:00-15:00,09:00-15:00,09:00-15:00
Od9niVya8G5BD3a1l2ss-g,close all day,close all day,close all day,close all day,close all day,close all day,close all day
Z101WZaISochG6g7tI2ZVw,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00
Eixtf79t1_ZKaC-7J2kAWg,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00
Z0OGW8PysysRXE0dR7QxQQ,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00
I9-Ei8_KYtMjbixNJSCvwA,close all day,close all day,close all day,close all day,close all day,close all day,close all day
yfuoL_w76WFVHcGJbw0IIg,close all day,close all day,close all day,close all day,close all day,close all day,close all day
2cupks8QYzFpMYDiysGOug,close all day,close all day,close all day,close all day,close all day,close all day,close all day
AAcw9y30cRuMo0oa8UBiIw,close all day,close all day,close all day,close all day,close all day,close all day,close all day
YUZVBdGmagwXV-yOhR-1GQ,11:00-02:00,11:00-02:00,11:00-02:00,11:00-02:00,11:00-02:00,11:00-02:00,11:00-02:00
OIL-eZX8d10jgWPLW-E7zA,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00
PSlOtPIo28BvWOzdLmRRRQ,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00
wan0X-oHpLgGTPXqaICZCw,16:00-02:00,16:00-02:00,16:00-02:00,16:00-02:00,16:00-02:00,16:00-02:00,16:00-02:00
QnyzlVMyx0Exri-Lay10cA,17:00-22:00,17:00-22:00,17:00-22:00,17:00-22:00,17:00-22:00,17:00-22:00,17:00-22:00
81sqVj0xHyJXGYT0ip5fmQ,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00
93UCt9OgWYmypZCpXtUu8g,11:00-00:30,11:00-00:30,11:00-00:30,11:00-00:30,11:00-00:30,11:00-00:30,11:00-00:30
za5fND9-pXyVSk5rM28MsQ,12:00-02:00,12:00-02:00,12:00-02:00,12:00-02:00,12:00-02:00,12:00-02:00,12:00-02:00
ORTRrw3ClZ0Ld0LgY1H_5g,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00
9aw0t0rlACKkMaxsX0KlKA,close all day,close all day,close all day,close all day,close all day,close all day,close all day
5Udv4CASAXB2eH66TefWPQ,11:00-02:00,11:00-02:00,11:00-02:00,11:00-02:00,11:00-02:00,11:00-02:00,11:00-02:00
2Igiyhi82R8_QaaPplRmCw,07:00-13:00,07:00-13:00,07:00-13:00,07:00-13:00,07:00-13:00,07:00-13:00,07:00-13:00
Cex2R008tMFg8R5fAtf77w,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00
n7G2XFGvmS3duDJ4AzjKiQ,close all day,close all day,close all day,close all day,close all day,close all day,close all day
8tBfgYCI6Fz9xrSYCYCYXA,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00
Tb7hQ37UFA2QFaMwjFieQw,close all day,close all day,close all day,close all day,close all day,close all day,close all day
qemCNgjeYGcFsRwxW9x4xw,11:00-23:30,11:00-23:30,11:00-23:30,11:00-23:30,11:00-23:30,11:00-23:30,11:00-23:30
iudRNo5Q8W7firUBYJEqQQ,close all day,close all day,close all day,close all day,close all day,close all day,close all day
2X5G4Ujq0s4Wfn4TC7gX0g,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00
XQ7elqSFIRogvqpiTZz-Wg,close all day,close all day,close all day,close all day,close all day,close all day,close all day
JL5B_s1EoN4zIru4JSw4Qg,07:00-01:00,07:00-01:00,07:00-01:00,07:00-01:00,07:00-01:00,07:00-01:00,07:00-01:00
IafkUjO5CiXAu9LfB4_Sgg,11:00-18:00,11:00-18:00,11:00-18:00,11:00-18:00,11:00-18:00,11:00-18:00,11:00-18:00
OS1fGOcx_Erie5gujWIFNQ,close all day,close all day,close all day,close all day,close all day,close all day,close all day
DzOPHyrG2XuVqKEvHCnN7w,08:00-22:30,08:00-22:30,08:00-22:30,08:00-22:30,08:00-22:30,08:00-22:30,08:00-22:30
nqRNOug4OMrYTTZg-qLxXA,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00
K8Ebs8G1rwc3DBdznHvDxg,10:00-01:00,10:00-01:00,10:00-01:00,10:00-01:00,10:00-01:00,10:00-01:00,10:00-01:00
h3la53L9-OX_HlfeAySh0Q,close all day,close all day,close all day,close all day,close all day,close all day,close all day
1vQLTKwmcmZXtNzfKEvMmA,11:30-22:00,11:30-22:00,11:30-22:00,11:30-22:00,11:30-22:00,11:30-22:00,11:30-22:00
hhNlQWaKqGbMPoeZHoL-IQ,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00
GEw1pLdbMlJecvQkKBIgSw,close all day,close all day,close all day,close all day,close all day,close all day,close all day
SgQYRICpMdWCmY7wM2Cmcw,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00
m0QsJDntW1MrWCxBVFwuAg,10:00-01:00,10:00-01:00,10:00-01:00,10:00-01:00,10:00-01:00,10:00-01:00,10:00-01:00
uwiD9jxs09xxXG0by_xKuA,05:30-19:00,05:30-19:00,05:30-19:00,05:30-19:00,05:30-19:00,05:30-19:00,05:30-19:00
mrbfnIXD5U4pMxuZgKedOw,close all day,close all day,close all day,close all day,close all day,close all day,close all day
sNmQJQWEVGheCnw5Tf4Phg,06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00
jrSGpWnVJy8jqgN6XSC7Nw,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00
EtnMSBRlMQWrdTla-jz9RA,11:00-02:00,11:00-02:00,11:00-02:00,11:00-02:00,11:00-02:00,11:00-02:00,11:00-02:00
KZXtzoI84iI1CEcAnD7OPA,11:00-00:00,11:00-00:00,11:00-00:00,11:00-00:00,11:00-00:00,11:00-00:00,11:00-00:00
zpNGtjBlIkDq_PLGSCPlAg,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00
ZS7-I04iDm4oRP_GJsJqrA,10:30-22:00,10:30-22:00,10:30-22:00,10:30-22:00,10:30-22:00,10:30-22:00,10:30-22:00
FtjvnLhh51ZBYEpKAARaFQ,11:00-00:00,11:00-00:00,11:00-00:00,11:00-00:00,11:00-00:00,11:00-00:00,11:00-00:00
z4cCguoHdU48pj6sXMIzqg,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00
sbTF0cLKZH6_BP8BLARVDg,16:00-23:00,16:00-23:00,16:00-23:00,16:00-23:00,16:00-23:00,16:00-23:00,16:00-23:00
OxIeMVcop5oxBUWANi-1Rw,11:30-00:00,11:30-00:00,11:30-00:00,11:30-00:00,11:30-00:00,11:30-00:00,11:30-00:00
imzKM9-mgN1Yk_RIXx3IgA,close all day,close all day,close all day,close all day,close all day,close all day,close all day
IEHaU93HpEbdUO4z4bKzDw,00:00-12:00,00:00-12:00,00:00-12:00,00:00-12:00,00:00-12:00,00:00-12:00,00:00-12:00
NeUf9FyCCIN4MEseNyqkXQ,11:00-00:00,11:00-00:00,11:00-00:00,11:00-00:00,11:00-00:00,11:00-00:00,11:00-00:00
JcP-IIrZkW_Yyv4a0yLRCw,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00
4LcFKTr6Ah87VcxW2z5e6w,close all day,close all day,close all day,close all day,close all day,close all day,close all day
buVALudg30kgkDusqB3yJw,09:00-16:00,09:00-16:00,09:00-16:00,09:00-16:00,09:00-16:00,09:00-16:00,09:00-16:00
wHi8ODv7TGmeUB02XoX-mA,11:00-00:00,11:00-00:00,11:00-00:00,11:00-00:00,11:00-00:00,11:00-00:00,11:00-00:00
WXpi9z1bqF9raZSW8z70Ow,10:30-00:00,10:30-00:00,10:30-00:00,10:30-00:00,10:30-00:00,10:30-00:00,10:30-00:00
j7kgLc4Uys_sb-H7_Velcg,close all day,close all day,close all day,close all day,close all day,close all day,close all day
DhDNNHZtaBxYNSqJz64ixg,10:30-20:00,10:30-20:00,10:30-20:00,10:30-20:00,10:30-20:00,10:30-20:00,10:30-20:00
PxP19Rb88OQKiSMl2oWNsg,11:00-22:30,11:00-22:30,11:00-22:30,11:00-22:30,11:00-22:30,11:00-22:30,11:00-22:30
9mwShpTgZofOujt4JfyGmw,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00
90Fqfzd8zD9AuuNBSv9lAg,17:00-22:00,17:00-22:00,17:00-22:00,17:00-22:00,17:00-22:00,17:00-22:00,17:00-22:00
pfS0Bd-sXZyMNr73kJPeaw,close all day,close all day,close all day,close all day,close all day,close all day,close all day
KEzIorUdFjqCuxbRxKPghA,close all day,close all day,close all day,close all day,close all day,close all day,close all day
pvGT62T6Ci1LKOS9DL42pg,10:00-16:00,10:00-16:00,10:00-16:00,10:00-16:00,10:00-16:00,10:00-16:00,10:00-16:00
OT3yVpDrDVITDCIYox8d9A,close all day,close all day,close all day,close all day,close all day,close all day,close all day
8AskFIgGxqNb8RbcDCAfmA,10:30-15:00,10:30-15:00,10:30-15:00,10:30-15:00,10:30-15:00,10:30-15:00,10:30-15:00
A2XkbJ07hrR80t0EFgLikQ,06:00-20:00,06:00-20:00,06:00-20:00,06:00-20:00,06:00-20:00,06:00-20:00,06:00-20:00
L5387MoRyx9orlRyYfCSPA,08:00-17:30,08:00-17:30,08:00-17:30,08:00-17:30,08:00-17:30,08:00-17:30,08:00-17:30
dHDi4wCcjsOR6vcZ8oOIoA,17:00-21:00,17:00-21:00,17:00-21:00,17:00-21:00,17:00-21:00,17:00-21:00,17:00-21:00
41CXLCeB8z2oNdIOvnrzIA,close all day,close all day,close all day,close all day,close all day,close all day,close all day
OhwF2JDqlYMZl5Rp3WRBog,close all day,close all day,close all day,close all day,close all day,close all day,close all day
l2gPB9mqiHSbpwSUa7zrjg,11:30-14:00,11:30-14:00,11:30-14:00,11:30-14:00,11:30-14:00,11:30-14:00,11:30-14:00
gfpl_GyyY5uj6zJnIdzImQ,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00
l-OmDgEd4QkZpyXVpkp2yA,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00
0FgwBx7pgmNdUtsd_T8UYQ,11:30-22:00,11:30-22:00,11:30-22:00,11:30-22:00,11:30-22:00,11:30-22:00,11:30-22:00
SzHTdZR3yY1WBYUxkVxmUQ,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00
xgcZN3F2f9LxLASQK_xzhw,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00
_aGVicux2dJm9sqzLSCJtg,close all day,close all day,close all day,close all day,close all day,close all day,close all day
uUorjstNslr3gkIsVGtQAg,close all day,close all day,close all day,close all day,close all day,close all day,close all day
GSiHJG8LqTn5ZQAY1r9q9w,close all day,close all day,close all day,close all day,close all day,close all day,close all day
0Lsd35rHY6UtPFHjjxJ1LA,close all day,close all day,close all day,close all day,close all day,close all day,close all day
Bza-l75OiKcMRmTYILpyfQ,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00
-TSFapUMwdyyxoi2egkOhw,close all day,close all day,close all day,close all day,close all day,close all day,close all day
1E53rS8afK2jiLod8Jwy7A,13:30-21:30,13:30-21:30,13:30-21:30,13:30-21:30,13:30-21:30,13:30-21:30,13:30-21:30
j0uzPYXgu-hmkvuGnj-B1w,close all day,close all day,close all day,close all day,close all day,close all day,close all day
AH1PrZQDIdjpKgy1z8XxUg,10:30-16:30,10:30-16:30,10:30-16:30,10:30-16:30,10:30-16:30,10:30-16:30,10:30-16:30
XmdTkxKyJd7TuDLoiic1kg,11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:00
HDTv_rnmSL8AQ04_zTWARA,11:30-02:00,11:30-02:00,11:30-02:00,11:30-02:00,11:30-02:00,11:30-02:00,11:30-02:00
nBl_NeArpL08MpoghDiA_A,10:00-01:00,10:00-01:00,10:00-01:00,10:00-01:00,10:00-01:00,10:00-01:00,10:00-01:00
J011r7mUV1QhgLJ7GkrtMw,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00
-KQ283hJkBO12u8XOrlCcQ,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00
SvoJ3Y3uqDfB4iGUaWXh8Q,10:00-01:00,10:00-01:00,10:00-01:00,10:00-01:00,10:00-01:00,10:00-01:00,10:00-01:00
6xEl2PDJulIp1PfWqa7-aA,close all day,close all day,close all day,close all day,close all day,close all day,close all day
GQloL8yRHymE0SGZq-B0zQ,close all day,close all day,close all day,close all day,close all day,close all day,close all day
Lm_mR5xDF91OeZw97ch41g,11:00-21:30,11:00-21:30,11:00-21:30,11:00-21:30,11:00-21:30,11:00-21:30,11:00-21:30
aj4XHn7jZ48euP4g8ape-Q,close all day,close all day,close all day,close all day,close all day,close all day,close all day
-v31BEquLxeVPgvFHburUQ,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00
9dRhseYpES0LO0iNDLHtrg,close all day,close all day,close all day,close all day,close all day,close all day,close all day
KnlNwiIELDWAR686Bk2WJg,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00
XzaJf6WzpU7RsXTXzx72Xg,11:30-22:00,11:30-22:00,11:30-22:00,11:30-22:00,11:30-22:00,11:30-22:00,11:30-22:00
PTS4MxQel-xzj5qWxVn3LQ,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00
IvgKdlte_JNdd17XRxkOrg,close all day,close all day,close all day,close all day,close all day,close all day,close all day
bDK_jzy3Shx7jfn8_plNoA,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00
PhIGoo9g6GBrqgH_6yZXXQ,17:00-22:00,17:00-22:00,17:00-22:00,17:00-22:00,17:00-22:00,17:00-22:00,17:00-22:00
uBW3PIKqc-_eyG1_vdJn1w,17:00-21:00,17:00-21:00,17:00-21:00,17:00-21:00,17:00-21:00,17:00-21:00,17:00-21:00
DsxLIr-b6WlDn9YNsVBu_A,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00
FD6OocZdFUfE2J5H0WN4fA,11:00-17:00,11:00-17:00,11:00-17:00,11:00-17:00,11:00-17:00,11:00-17:00,11:00-17:00
